ID;MARCA;NOME;TIPO
0;ACURA;INTEGRA;Carro
1;ACURA;LEGEND;Carro
2;ACURA;NSX;Carro
3;AGRALE;MARRUA;Carro
4;ALFA ROMEO;145;Carro
5;ALFA ROMEO;147;Carro
6;ALFA ROMEO;155;Carro
7;ALFA ROMEO;156;Carro
8;ALFA ROMEO;164;Carro
9;ALFA ROMEO;166;Carro
10;ALFA ROMEO;2300;Carro
11;ALFA ROMEO;SPIDER;Carro
12;AM GEN;HUMMER;Carro
13;KIA;AM-825;Carro
14;KIA;HI-TOPIC;Carro
15;KIA;ROCSTA;Carro
16;KIA;TOPIC;Carro
17;KIA;TOWNER;Carro
18;AUDI;100;Carro
19;AUDI;80;Carro
20;AUDI;A1;Carro
21;AUDI;A3;Carro
22;AUDI;A4 SEDAN;Carro
23;AUDI;A5 COUPE;Carro
24;AUDI;A6 SEDAN;Carro
25;AUDI;A7;Carro
26;AUDI;A8;Carro
27;AUDI;Q3;Carro
28;AUDI;Q5;Carro
29;AUDI;Q7;Carro
30;AUDI;R8;Carro
31;AUDI;RS3;Carro
32;AUDI;RS4;Carro
33;AUDI;RS5;Carro
34;AUDI;RS6;Carro
35;AUDI;S3;Carro
36;AUDI;S4 SEDAN;Carro
37;AUDI;S6 SEDAN;Carro
38;AUDI;S8;Carro
39;AUDI;TT;Carro
40;AUDI;TTS;Carro
41;BUGGY;BUGGY;Carro
42;CADILLAC;DEVILLE;Carro
43;CADILLAC;ELDORADO;Carro
44;CADILLAC;SEVILLE;Carro
45;CBT;JAVALI;Carro
46;CHANA;MINI STAR FAMILY;Carro
47;CHANA;MINI STAR UTILITY;Carro
48;CHERY;CIELO;Carro
49;CHERY;FACE;Carro
50;CHERY;QQ;Carro
51;CHERY;S-18;Carro
52;CHERY;TIGGO;Carro
53;CHRYSLER;300C;Carro
54;CHRYSLER;CARAVAN;Carro
55;CHRYSLER;CIRRUS;Carro
56;CHRYSLER;GRAN CARAVAN;Carro
57;CHRYSLER;LE BARON;Carro
58;CHRYSLER;NEON;Carro
59;CHRYSLER;PT CRUISER;Carro
60;CHRYSLER;SEBRING;Carro
61;CHRYSLER;STRATUS;Carro
62;CHRYSLER;TOWN E COUNTRY;Carro
63;CHRYSLER;VISION;Carro
64;CITROEN;AIRCROSS;Carro
65;CITROEN;AX;Carro
66;CITROEN;BERLINGO;Carro
67;CITROEN;BX;Carro
68;CITROEN;C3;Carro
69;CITROEN;C4;Carro
70;CITROEN;C5;Carro
71;CITROEN;C6;Carro
72;CITROEN;C8;Carro
73;CITROEN;DS3;Carro
